zone,complex,dong,line,ho,floor,excelRow,price,expectedPrice,difference,absDifference,lowFloor,lowPrice,peakFloor,topFloor
2구역,신현대,101,5,605,6,1279,46.5,45.045,1.4549999999999983,1.4549999999999983,1,42.9,11,12
2구역,신현대,101,5,705,7,1287,47.13,45.474000000000004,1.6559999999999988,1.6559999999999988,1,42.9,11,12
2구역,신현대,101,5,805,8,1295,47.13,45.903000000000006,1.2269999999999968,1.2269999999999968,1,42.9,11,12
2구역,신현대,101,5,905,9,1303,47.13,46.332,0.7980000000000018,0.7980000000000018,1,42.9,11,12
2구역,신현대,101,5,1005,10,1311,47.13,46.761,0.3689999999999998,0.3689999999999998,1,42.9,11,12
2구역,신현대,101,5,1105,11,1319,47.13,47.190000000000005,-0.060000000000002274,0.060000000000002274,1,42.9,11,12
2구역,신현대,101,5,1205,12,1327,46.5,46.761,-0.2610000000000028,0.2610000000000028,1,42.9,11,12
2구역,신현대,101,6,206,2,1248,43.89,43.329,0.5609999999999999,0.5609999999999999,1,42.9,11,12
2구역,신현대,101,6,306,3,1256,45.03,43.758,1.2719999999999985,1.2719999999999985,1,42.9,11,12
2구역,신현대,101,6,406,4,1264,45.76,44.187,1.5730000000000004,1.5730000000000004,1,42.9,11,12
2구역,신현대,101,6,506,5,1272,45.76,44.616,1.1439999999999984,1.1439999999999984,1,42.9,11,12
2구역,신현대,101,6,606,6,1280,46.5,45.045,1.4549999999999983,1.4549999999999983,1,42.9,11,12
2구역,신현대,101,6,706,7,1288,47.13,45.474000000000004,1.6559999999999988,1.6559999999999988,1,42.9,11,12
2구역,신현대,101,6,806,8,1296,47.13,45.903000000000006,1.2269999999999968,1.2269999999999968,1,42.9,11,12
2구역,신현대,101,6,906,9,1304,47.13,46.332,0.7980000000000018,0.7980000000000018,1,42.9,11,12
2구역,신현대,101,6,1006,10,1312,47.13,46.761,0.3689999999999998,0.3689999999999998,1,42.9,11,12
2구역,신현대,101,6,1106,11,1320,47.13,47.190000000000005,-0.060000000000002274,0.060000000000002274,1,42.9,11,12
2구역,신현대,101,6,1206,12,1328,46.5,46.761,-0.2610000000000028,0.2610000000000028,1,42.9,11,12
2구역,신현대,101,7,207,2,1249,43.89,43.329,0.5609999999999999,0.5609999999999999,1,42.9,11,12
2구역,신현대,101,7,307,3,1257,45.03,43.758,1.2719999999999985,1.2719999999999985,1,42.9,11,12
2구역,신현대,101,7,407,4,1265,45.76,44.187,1.5730000000000004,1.5730000000000004,1,42.9,11,12
2구역,신현대,101,7,507,5,1273,45.76,44.616,1.1439999999999984,1.1439999999999984,1,42.9,11,12
2구역,신현대,101,7,607,6,1281,46.5,45.045,1.4549999999999983,1.4549999999999983,1,42.9,11,12
2구역,신현대,101,7,707,7,1289,47.13,45.474000000000004,1.6559999999999988,1.6559999999999988,1,42.9,11,12
2구역,신현대,101,7,807,8,1297,47.13,45.903000000000006,1.2269999999999968,1.2269999999999968,1,42.9,11,12
2구역,신현대,101,7,907,9,1305,47.13,46.332,0.7980000000000018,0.7980000000000018,1,42.9,11,12
2구역,신현대,101,7,1007,10,1313,47.13,46.761,0.3689999999999998,0.3689999999999998,1,42.9,11,12
2구역,신현대,101,7,1107,11,1321,47.13,47.190000000000005,-0.060000000000002274,0.060000000000002274,1,42.9,11,12
2구역,신현대,101,7,1207,12,1329,46.5,46.761,-0.2610000000000028,0.2610000000000028,1,42.9,11,12
2구역,신현대,101,8,208,2,1250,43.89,43.329,0.5609999999999999,0.5609999999999999,1,42.9,11,12
2구역,신현대,101,8,308,3,1258,45.03,43.758,1.2719999999999985,1.2719999999999985,1,42.9,11,12
2구역,신현대,101,8,408,4,1266,45.76,44.187,1.5730000000000004,1.5730000000000004,1,42.9,11,12
2구역,신현대,101,8,508,5,1274,45.76,44.616,1.1439999999999984,1.1439999999999984,1,42.9,11,12
2구역,신현대,101,8,608,6,1282,46.5,45.045,1.4549999999999983,1.4549999999999983,1,42.9,11,12
2구역,신현대,101,8,708,7,1290,47.13,45.474000000000004,1.6559999999999988,1.6559999999999988,1,42.9,11,12
2구역,신현대,101,8,808,8,1298,47.13,45.903000000000006,1.2269999999999968,1.2269999999999968,1,42.9,11,12
2구역,신현대,101,8,908,9,1306,47.13,46.332,0.7980000000000018,0.7980000000000018,1,42.9,11,12
2구역,신현대,101,8,1008,10,1314,47.13,46.761,0.3689999999999998,0.3689999999999998,1,42.9,11,12
2구역,신현대,101,8,1108,11,1322,47.13,47.190000000000005,-0.060000000000002274,0.060000000000002274,1,42.9,11,12
2구역,신현대,101,8,1208,12,1330,46.5,46.761,-0.2610000000000028,0.2610000000000028,1,42.9,11,12
2구역,신현대,102,1,201,2,1339,43.89,43.329,0.5609999999999999,0.5609999999999999,1,42.9,11,12
2구역,신현대,102,1,301,3,1347,45.03,43.758,1.2719999999999985,1.2719999999999985,1,42.9,11,12
2구역,신현대,102,1,401,4,1355,45.76,44.187,1.5730000000000004,1.5730000000000004,1,42.9,11,12
2구역,신현대,102,1,501,5,1363,45.76,44.616,1.1439999999999984,1.1439999999999984,1,42.9,11,12
2구역,신현대,102,1,601,6,1371,46.5,45.045,1.4549999999999983,1.4549999999999983,1,42.9,11,12
2구역,신현대,102,1,701,7,1379,47.13,45.474000000000004,1.6559999999999988,1.6559999999999988,1,42.9,11,12
2구역,신현대,102,1,801,8,1387,47.13,45.903000000000006,1.2269999999999968,1.2269999999999968,1,42.9,11,12
2구역,신현대,102,1,901,9,1395,47.13,46.332,0.7980000000000018,0.7980000000000018,1,42.9,11,12
2구역,신현대,102,1,1001,10,1403,47.13,46.761,0.3689999999999998,0.3689999999999998,1,42.9,11,12
