구역,평형,유닛수,동수,층표본수,가중평균조망각,중앙조망각,상위25%경계각,최소조망각,최대조망각,최대각비중_pct,10도초과_pct,20도초과_pct,30도초과_pct,0도비중_pct,가중평균최대연속각,분포
3구역,71,34,12,1402,77.5,65.0,108.0,1.0,211.0,1.7,92.4,89.8,80.9,0.0,66.55,"{""10~20도"": 2.6, ""10도 이하"": 7.6, ""20~30도"": 8.9, ""30~40도"": 10.8, ""40~50도"": 8.0, ""50~60도"": 8.4, ""60~70도"": 8.1, ""70~80도"": 4.3, ""80~90도"": 10.6, ""90~100도"": 1.6, ""100~110도"": 5.1, ""110~120도"": 0.1, ""120~130도"": 0.1, ""130~140도"": 5.8, ""140~150도"": 7.3, ""150~160도"": 2.6, ""160~170도"": 4.6, ""170~180도"": 1.8, ""180~190도"": 0.1, ""190~200도"": 0.1, ""210~220도"": 1.7}"
3구역,82,8,4,268,59.93,13.0,166.0,1.0,203.0,7.1,51.5,40.3,38.8,0.0,55.59,"{""10~20도"": 11.2, ""10도 이하"": 48.5, ""20~30도"": 1.5, ""30~40도"": 8.2, ""40~50도"": 1.5, ""50~60도"": 0.7, ""160~170도"": 14.2, ""180~190도"": 7.1, ""200~210도"": 7.1}"
3구역,91,4,2,126,148.59,152.0,178.0,86.0,192.0,18.3,100.0,100.0,100.0,0.0,128.7,"{""80~90도"": 15.9, ""100~110도"": 15.9, ""150~160도"": 19.0, ""170~180도"": 30.2, ""180~190도"": 0.8, ""190~200도"": 18.3}"
3구역,103,3,2,82,156.67,141.0,194.0,101.0,198.0,23.2,100.0,100.0,100.0,0.0,135.65,"{""100~110도"": 24.4, ""130~140도"": 1.2, ""140~150도"": 28.0, ""190~200도"": 46.3}"
4구역,25평,6,6,258,40.16,28.0,73.0,1.0,115.0,0.4,75.2,75.2,40.3,0.0,37.43,"{""10도 이하"": 24.8, ""20~30도"": 34.9, ""30~40도"": 0.8, ""40~50도"": 8.9, ""50~60도"": 1.6, ""60~70도"": 1.6, ""70~80도"": 10.5, ""90~100도"": 10.9, ""100~110도"": 5.8, ""110~120도"": 0.4}"
4구역,34평,2,2,64,16.56,10.0,18.0,6.0,41.0,17.2,50.0,17.2,17.2,0.0,12.05,"{""10~20도"": 32.8, ""10도 이하"": 50.0, ""40~50도"": 17.2}"
4구역,40평,12,7,467,62.37,45.0,70.0,14.0,194.0,0.2,100.0,91.0,72.8,0.0,57.26,"{""10~20도"": 9.0, ""20~30도"": 18.2, ""30~40도"": 9.2, ""40~50도"": 24.8, ""50~60도"": 0.2, ""60~70도"": 15.4, ""70~80도"": 0.4, ""80~90도"": 0.9, ""90~100도"": 5.6, ""100~110도"": 4.1, ""110~120도"": 0.2, ""150~160도"": 4.3, ""170~180도"": 4.3, ""180~190도"": 3.2, ""190~200도"": 0.2}"
4구역,43평,4,4,181,81.45,51.0,154.0,24.0,176.0,0.6,100.0,100.0,76.8,0.0,74.29,"{""20~30도"": 23.2, ""30~40도"": 0.6, ""40~50도"": 23.2, ""50~60도"": 9.9, ""60~70도"": 0.6, ""90~100도"": 14.4, ""100~110도"": 1.7, ""110~120도"": 0.6, ""150~160도"": 1.7, ""160~170도"": 23.8, ""170~180도"": 0.6}"
4구역,47평,9,5,259,85.46,79.0,167.0,12.0,175.0,6.6,100.0,74.5,74.5,0.0,82.21,"{""10~20도"": 25.5, ""30~40도"": 11.2, ""40~50도"": 6.9, ""50~60도"": 1.2, ""60~70도"": 1.2, ""70~80도"": 10.0, ""80~90도"": 7.3, ""130~140도"": 9.3, ""160~170도"": 13.5, ""170~180도"": 13.9}"
4구역,52평,1,1,32,23.88,17.0,37.0,17.0,37.0,34.4,100.0,34.4,34.4,0.0,19.16,"{""10~20도"": 65.6, ""30~40도"": 34.4}"
4구역,60평,3,3,126,81.13,60.0,86.0,32.0,178.0,1.6,100.0,100.0,100.0,0.0,75.83,"{""30~40도"": 33.3, ""40~50도"": 8.7, ""50~60도"": 17.5, ""60~70도"": 1.6, ""80~90도"": 14.3, ""150~160도"": 2.4, ""170~180도"": 22.2}"
4구역,63평,2,2,64,20.62,18.0,24.0,15.0,33.0,17.2,100.0,34.4,17.2,0.0,20.12,"{""10~20도"": 65.6, ""20~30도"": 17.2, ""30~40도"": 17.2}"
4구역,67평,3,2,181,63.67,53.0,90.0,24.0,134.0,13.3,100.0,100.0,87.8,0.0,57.18,"{""20~30도"": 12.2, ""30~40도"": 11.6, ""40~50도"": 24.3, ""50~60도"": 16.0, ""60~70도"": 3.9, ""70~80도"": 1.1, ""80~90도"": 8.8, ""90~100도"": 8.3, ""100~110도"": 0.6, ""130~140도"": 13.3}"
4구역,72평,1,1,32,24.34,24.0,25.0,24.0,25.0,34.4,100.0,100.0,0.0,0.0,24.34,"{""20~30도"": 100.0}"
4구역,77평,1,1,32,29.78,29.0,31.0,29.0,31.0,34.4,100.0,100.0,34.4,0.0,29.44,"{""20~30도"": 65.6, ""30~40도"": 34.4}"
5구역,25,10,6,341,37.49,19.0,59.0,0.0,169.0,5.3,68.0,47.5,39.3,11.7,35.46,"{""10~20도"": 20.5, ""10도 이하"": 32.0, ""20~30도"": 8.2, ""40~50도"": 12.0, ""50~60도"": 7.9, ""70~80도"": 5.9, ""80~90도"": 8.2, ""160~170도"": 5.3}"
5구역,31,9,5,357,64.33,55.0,81.0,7.0,166.0,5.6,94.7,89.4,65.8,0.0,62.32,"{""10~20도"": 5.3, ""10도 이하"": 5.3, ""20~30도"": 23.5, ""30~40도"": 12.0, ""40~50도"": 0.8, ""50~60도"": 13.4, ""70~80도"": 8.1, ""80~90도"": 10.1, ""100~110도"": 7.8, ""150~160도"": 7.8, ""160~170도"": 5.6}"
5구역,35,7,6,295,95.65,72.0,153.0,36.0,172.0,0.3,100.0,100.0,100.0,0.0,90.65,"{""30~40도"": 6.8, ""40~50도"": 9.2, ""50~60도"": 33.2, ""70~80도"": 6.8, ""80~90도"": 0.3, ""100~110도"": 6.4, ""110~120도"": 5.8, ""150~160도"": 9.5, ""160~170도"": 7.1, ""170~180도"": 14.9}"
5구역,41,5,5,191,70.93,55.0,114.0,16.0,163.0,13.6,100.0,74.9,66.0,0.0,66.41,"{""10~20도"": 25.1, ""20~30도"": 8.9, ""30~40도"": 1.6, ""50~60도"": 24.6, ""60~70도"": 1.0, ""80~90도"": 5.2, ""110~120도"": 19.4, ""140~150도"": 0.5, ""160~170도"": 13.6}"
5구역,51,3,2,166,50.77,61.0,79.0,8.0,85.0,17.5,86.1,70.5,70.5,0.0,50.73,"{""10~20도"": 15.7, ""10도 이하"": 13.9, ""40~50도"": 13.9, ""60~70도"": 30.7, ""70~80도"": 8.4, ""80~90도"": 17.5}"
5구역,61,3,2,155,135.38,155.0,155.0,72.0,186.0,0.6,100.0,100.0,100.0,0.0,128.3,"{""70~80도"": 27.1, ""80~90도"": 1.3, ""130~140도"": 1.3, ""140~150도"": 18.1, ""150~160도"": 29.0, ""160~170도"": 12.3, ""170~180도"": 0.6, ""180~190도"": 10.3}"
5구역,71,1,1,19,170.0,170.0,170.0,170.0,170.0,100.0,100.0,100.0,100.0,0.0,170.0,"{""160~170도"": 100.0}"
