구역,단지명,동,호,원본공시가격_2026_억,순위기준가격_2026_억,저층기준층,최고가격층,최고층,보정기준
2구역,신현대,101,1003,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,101,1004,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,101,1005,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,101,1006,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,101,1007,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,101,1008,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,101,1101,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,101,1102,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,101,1103,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,101,1104,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,101,1105,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,101,1106,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,101,1107,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,101,1108,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,101,1201,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,101,1202,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,101,1203,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,101,1204,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,101,1205,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,101,1206,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,101,1207,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,101,1208,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,102,101,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,102,102,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,102,103,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,102,104,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,102,105,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,102,106,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,102,107,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,102,108,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,102,201,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,102,202,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,102,203,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,102,204,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,102,205,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,102,206,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,102,207,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,102,208,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,102,301,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,102,302,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,102,303,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,102,304,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,102,305,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,102,306,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,102,307,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,102,308,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,102,401,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,102,402,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,102,403,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,102,404,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,102,405,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,102,406,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,102,407,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,102,408,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,102,501,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,102,502,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,102,503,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,102,504,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,102,505,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,102,506,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,102,507,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,102,508,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,102,601,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,102,602,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,102,603,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,102,604,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,102,605,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,102,606,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,102,607,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,102,608,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,102,701,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,102,702,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,102,703,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,102,704,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,102,705,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,102,706,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,102,707,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,102,708,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,102,801,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,102,802,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,102,803,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,102,804,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,102,805,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,102,806,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,102,807,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,102,808,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,102,901,47.130000,46.332000,1,11,12,12층 10% 보정
