fid,zone,zoneId,dong,unitType,floor,floors,viewAngle,maxGap,angleRange,distanceMin,distanceMax
2-2,2구역,2,101,41,1,20,120,59,327~25,72,430
2-2,2구역,2,101,41,2,20,120,59,327~25,72,430
2-2,2구역,2,101,41,3,20,120,59,327~25,72,430
2-2,2구역,2,101,41,4,20,120,59,327~25,72,430
2-2,2구역,2,101,41,5,20,120,59,327~25,72,430
2-2,2구역,2,101,41,6,20,120,59,327~25,72,430
2-2,2구역,2,101,41,7,20,120,59,327~25,72,430
2-2,2구역,2,101,41,8,20,120,59,327~25,72,430
2-2,2구역,2,101,41,9,20,120,59,327~25,72,430
2-2,2구역,2,101,41,10,20,120,59,327~25,72,430
2-2,2구역,2,101,41,11,20,120,59,327~25,72,430
2-2,2구역,2,101,41,12,20,120,59,327~25,72,430
2-2,2구역,2,101,41,13,20,120,59,327~25,72,430
2-2,2구역,2,101,41,14,20,120,59,327~25,72,430
2-2,2구역,2,101,41,15,20,120,59,327~25,72,430
2-2,2구역,2,101,41,16,20,120,59,327~25,72,430
2-2,2구역,2,101,41,17,20,120,59,327~25,72,430
2-2,2구역,2,101,41,18,20,120,59,327~25,72,430
2-2,2구역,2,101,41,19,20,120,59,327~25,72,430
2-2,2구역,2,101,41,20,20,120,59,327~25,72,430
2-3,2구역,2,101,"55,56",1,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",2,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",3,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",4,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",5,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",6,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",7,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",8,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",9,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",10,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",11,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",12,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",13,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",14,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",15,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",16,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",17,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",18,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",19,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",20,20,107,38,228~265,80,236
2-7,2구역,2,102,"45,46",1,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",1,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",2,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",2,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",3,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",3,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",4,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",4,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",5,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",5,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",6,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",6,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",7,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",7,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",8,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",8,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",9,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",9,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",10,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",10,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",11,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",11,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",12,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",12,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",13,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",13,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",14,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",14,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",15,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",15,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",16,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",16,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",17,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",17,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",18,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",18,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",19,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",19,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",20,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",20,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",21,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",21,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",22,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",22,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",23,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",23,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",24,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",24,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",25,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",25,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",26,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",26,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",27,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",27,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",28,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",28,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",29,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",29,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",30,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",30,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",31,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",31,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",32,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",32,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",33,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",33,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",34,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",34,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",35,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",35,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",36,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",36,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",37,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",37,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",38,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",38,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",39,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",39,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",40,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",40,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",41,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",41,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",42,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",42,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",43,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",43,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",44,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",44,45,12,2,254~255,218,218
2-7,2구역,2,102,"45,46",45,45,20,2,248~249,206,207
2-8,2구역,2,102,"45,46",45,45,12,2,254~255,218,218
2-9,2구역,2,102,"51,52",1,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",2,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",3,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",4,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",5,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",6,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",7,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",8,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",9,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",10,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",11,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",12,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",13,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",14,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",15,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",16,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",17,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",18,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",19,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",20,45,12,3,7~9,371,395
2-9,2구역,2,102,"51,52",21,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",22,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",23,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",24,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",25,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",26,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",27,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",28,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",29,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",30,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",31,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",32,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",33,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",34,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",35,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",36,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",37,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",38,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",39,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",40,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",41,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",42,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",43,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",44,45,16,7,7~13,371,489
2-9,2구역,2,102,"51,52",45,45,16,7,7~13,371,489
2-5,2구역,2,102,"55,56",1,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",2,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",3,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",4,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",5,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",6,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",7,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",8,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",9,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",10,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",11,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",12,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",13,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",14,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",15,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",16,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",17,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",18,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",19,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",20,45,54,6,295~300,91,94
2-5,2구역,2,102,"55,56",21,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",22,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",23,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",24,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",25,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",26,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",27,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",28,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",29,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",30,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",31,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",32,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",33,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",34,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",35,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",36,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",37,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",38,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",39,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",40,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",41,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",42,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",43,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",44,45,70,9,14~22,284,483
2-5,2구역,2,102,"55,56",45,45,70,9,14~22,284,483
2-11,2구역,2,102,60,1,45,19,6,8~13,323,394
2-11,2구역,2,102,60,2,45,19,6,8~13,323,394
2-11,2구역,2,102,60,3,45,19,6,8~13,323,394
2-11,2구역,2,102,60,4,45,19,6,8~13,323,394
2-11,2구역,2,102,60,5,45,19,6,8~13,323,394
2-11,2구역,2,102,60,6,45,19,6,8~13,323,394
2-11,2구역,2,102,60,7,45,19,6,8~13,323,394
2-11,2구역,2,102,60,8,45,19,6,8~13,323,394
2-11,2구역,2,102,60,9,45,19,6,8~13,323,394
2-11,2구역,2,102,60,10,45,19,6,8~13,323,394
2-11,2구역,2,102,60,11,45,19,6,8~13,323,394
2-11,2구역,2,102,60,12,45,19,6,8~13,323,394
2-11,2구역,2,102,60,13,45,19,6,8~13,323,394
2-11,2구역,2,102,60,14,45,19,6,8~13,323,394
2-11,2구역,2,102,60,15,45,19,6,8~13,323,394
2-11,2구역,2,102,60,16,45,19,6,8~13,323,394
2-11,2구역,2,102,60,17,45,19,6,8~13,323,394
2-11,2구역,2,102,60,18,45,19,6,8~13,323,394
2-11,2구역,2,102,60,19,45,19,6,8~13,323,394
2-11,2구역,2,102,60,20,45,19,6,8~13,323,394
2-11,2구역,2,102,60,21,45,24,9,8~16,323,467
2-11,2구역,2,102,60,22,45,24,9,8~16,323,467
2-11,2구역,2,102,60,23,45,24,9,8~16,323,467
2-11,2구역,2,102,60,24,45,24,9,8~16,323,467
2-11,2구역,2,102,60,25,45,24,9,8~16,323,467
2-11,2구역,2,102,60,26,45,24,9,8~16,323,467
2-11,2구역,2,102,60,27,45,24,9,8~16,323,467
2-11,2구역,2,102,60,28,45,24,9,8~16,323,467
2-11,2구역,2,102,60,29,45,24,9,8~16,323,467
2-11,2구역,2,102,60,30,45,24,9,8~16,323,467
2-11,2구역,2,102,60,31,45,24,9,8~16,323,467
2-11,2구역,2,102,60,32,45,24,9,8~16,323,467
2-11,2구역,2,102,60,33,45,24,9,8~16,323,467
2-11,2구역,2,102,60,34,45,24,9,8~16,323,467
2-11,2구역,2,102,60,35,45,24,9,8~16,323,467
2-11,2구역,2,102,60,36,45,24,9,8~16,323,467
2-11,2구역,2,102,60,37,45,24,9,8~16,323,467
2-11,2구역,2,102,60,38,45,24,9,8~16,323,467
2-11,2구역,2,102,60,39,45,24,9,8~16,323,467
2-11,2구역,2,102,60,40,45,24,9,8~16,323,467
2-11,2구역,2,102,60,41,45,24,9,8~16,323,467
2-11,2구역,2,102,60,42,45,24,9,8~16,323,467
2-11,2구역,2,102,60,43,45,24,9,8~16,323,467
2-11,2구역,2,102,60,44,45,24,9,8~16,323,467
2-11,2구역,2,102,60,45,45,24,9,8~16,323,467
2-4,2구역,2,102,70,1,45,41,27,354~20,172,456
2-4,2구역,2,102,70,2,45,41,27,354~20,172,456
2-4,2구역,2,102,70,3,45,41,27,354~20,172,456
2-4,2구역,2,102,70,4,45,41,27,354~20,172,456
2-4,2구역,2,102,70,5,45,41,27,354~20,172,456
2-4,2구역,2,102,70,6,45,41,27,354~20,172,456
2-4,2구역,2,102,70,7,45,41,27,354~20,172,456
2-4,2구역,2,102,70,8,45,41,27,354~20,172,456
2-4,2구역,2,102,70,9,45,41,27,354~20,172,456
2-4,2구역,2,102,70,10,45,41,27,354~20,172,456
2-4,2구역,2,102,70,11,45,41,27,354~20,172,456
2-4,2구역,2,102,70,12,45,41,27,354~20,172,456
2-4,2구역,2,102,70,13,45,41,27,354~20,172,456
2-4,2구역,2,102,70,14,45,41,27,354~20,172,456
2-4,2구역,2,102,70,15,45,41,27,354~20,172,456
2-4,2구역,2,102,70,16,45,41,27,354~20,172,456
2-4,2구역,2,102,70,17,45,41,27,354~20,172,456
2-4,2구역,2,102,70,18,45,41,27,354~20,172,456
2-4,2구역,2,102,70,19,45,41,27,354~20,172,456
2-4,2구역,2,102,70,20,45,41,27,354~20,172,456
2-4,2구역,2,102,70,21,45,62,27,354~20,172,456
2-4,2구역,2,102,70,22,45,62,27,354~20,172,456
2-4,2구역,2,102,70,23,45,62,27,354~20,172,456
2-4,2구역,2,102,70,24,45,62,27,354~20,172,456
2-4,2구역,2,102,70,25,45,62,27,354~20,172,456
2-4,2구역,2,102,70,26,45,62,27,354~20,172,456
2-4,2구역,2,102,70,27,45,62,27,354~20,172,456
2-4,2구역,2,102,70,28,45,62,27,354~20,172,456
2-4,2구역,2,102,70,29,45,62,27,354~20,172,456
2-4,2구역,2,102,70,30,45,62,27,354~20,172,456
2-4,2구역,2,102,70,31,45,62,27,354~20,172,456
2-4,2구역,2,102,70,32,45,62,27,354~20,172,456
2-4,2구역,2,102,70,33,45,62,27,354~20,172,456
2-4,2구역,2,102,70,34,45,62,27,354~20,172,456
2-4,2구역,2,102,70,35,45,62,27,354~20,172,456
2-4,2구역,2,102,70,36,45,62,27,354~20,172,456
2-4,2구역,2,102,70,37,45,62,27,354~20,172,456
2-4,2구역,2,102,70,38,45,62,27,354~20,172,456
2-4,2구역,2,102,70,39,45,62,27,354~20,172,456
2-4,2구역,2,102,70,40,45,62,27,354~20,172,456
2-4,2구역,2,102,70,41,45,62,27,354~20,172,456
2-4,2구역,2,102,70,42,45,62,27,354~20,172,456
2-4,2구역,2,102,70,43,45,62,27,354~20,172,456
2-4,2구역,2,102,70,44,45,62,27,354~20,172,456
2-4,2구역,2,102,70,45,45,62,27,354~20,172,456
2-17,2구역,2,103,25,1,25,1,1,274~274,248,248
2-17,2구역,2,103,25,2,25,1,1,274~274,248,248
2-17,2구역,2,103,25,3,25,1,1,274~274,248,248
2-17,2구역,2,103,25,4,25,1,1,274~274,248,248
2-17,2구역,2,103,25,5,25,1,1,274~274,248,248
2-17,2구역,2,103,25,6,25,1,1,274~274,248,248
2-17,2구역,2,103,25,7,25,1,1,274~274,248,248
2-17,2구역,2,103,25,8,25,1,1,274~274,248,248
2-17,2구역,2,103,25,9,25,1,1,274~274,248,248
2-17,2구역,2,103,25,10,25,1,1,274~274,248,248
2-17,2구역,2,103,25,11,25,1,1,274~274,248,248
2-17,2구역,2,103,25,12,25,1,1,274~274,248,248
2-17,2구역,2,103,25,13,25,1,1,274~274,248,248
2-17,2구역,2,103,25,14,25,1,1,274~274,248,248
2-17,2구역,2,103,25,15,25,1,1,274~274,248,248
2-17,2구역,2,103,25,16,25,1,1,274~274,248,248
2-17,2구역,2,103,25,17,25,1,1,274~274,248,248
2-17,2구역,2,103,25,18,25,1,1,274~274,248,248
2-17,2구역,2,103,25,19,25,1,1,274~274,248,248
2-17,2구역,2,103,25,20,25,1,1,274~274,248,248
2-17,2구역,2,103,25,21,25,1,1,274~274,248,248
2-17,2구역,2,103,25,22,25,1,1,274~274,248,248
2-17,2구역,2,103,25,23,25,1,1,274~274,248,248
2-17,2구역,2,103,25,24,25,1,1,274~274,248,248
2-17,2구역,2,103,25,25,25,1,1,274~274,248,248
2-15,2구역,2,103,"45,46",1,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",1,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",2,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",2,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",3,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",3,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",4,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",4,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",5,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",5,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",6,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",6,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",7,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",7,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",8,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",8,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",9,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",9,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",10,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",10,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",11,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",11,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",12,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",12,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",13,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",13,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",14,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",14,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",15,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",15,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",16,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",16,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",17,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",17,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",18,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",18,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",19,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",19,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",20,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",20,25,7,1,0~0,397,397
2-15,2구역,2,103,"45,46",21,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",21,25,9,2,4~5,441,464
2-15,2구역,2,103,"45,46",22,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",22,25,9,2,4~5,441,464
2-15,2구역,2,103,"45,46",23,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",23,25,9,2,4~5,441,464
2-15,2구역,2,103,"45,46",24,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",24,25,9,2,4~5,441,464
2-15,2구역,2,103,"45,46",25,25,14,2,273~274,229,229
2-16,2구역,2,103,"45,46",25,25,9,2,4~5,441,464
2-12,2구역,2,103,"51,52",1,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",2,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",3,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",4,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",5,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",6,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",7,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",8,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",9,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",10,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",11,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",12,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",13,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",14,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",15,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",16,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",17,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",18,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",19,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",20,25,19,5,3~7,376,420
2-12,2구역,2,103,"51,52",21,25,22,10,3~12,376,514
2-12,2구역,2,103,"51,52",22,25,22,10,3~12,376,514
2-12,2구역,2,103,"51,52",23,25,22,10,3~12,376,514
2-12,2구역,2,103,"51,52",24,25,22,10,3~12,376,514
2-12,2구역,2,103,"51,52",25,25,22,10,3~12,376,514
2-14,2구역,2,103,"55,56",1,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",2,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",3,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",4,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",5,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",6,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",7,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",8,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",9,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",10,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",11,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",12,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",13,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",14,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",15,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",16,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",17,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",18,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",19,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",20,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",21,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",22,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",23,25,36,4,265~268,214,216
2-14,2구역,2,103,"55,56",24,25,36,4,265~268,214,216
